Door;UPC;Model Code;Color Name Description;Color Code;Size;Category;Lens Color;Model Name Description;Suggested Retail Price;Wholesale Price;Lens Base;Lens Material;Photochromic;Polarized;Standard;Temple Length ;Bridge Size;Lens Witdth;Lens Height;Folding;Crystals;Rx-Service;Rx-Able;Flex;Geofit;Front Colour Family ;Shape;Type;Temple Material ;Front Material ;Best Seller;Range;Gender;Collection;Limited Edition;New;Advertising;Theme;Items;Brand Name;Brand Code;
0021002876;8053672571875;0AX1019;DARK MATTE GUNMETAL;6089;54;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;17;54.0;37.9;N;N;N;N;N;;GUNMETAL;Square;Full Rim;;Metal;N;;Man;Optical;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672553062;0AX3031F;MATTE GREY;8180;55;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;17;55.0;35.6;N;N;N;N;Y;;GREY;Rectangle;Full Rim;;Plastic;N;21-35;Man;Optical;N;N;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672540406;0AX4052S;MATTE TORTOISE;802973;58;Eyewear;BROWN;;80.00;40.08;Base 6 Decentered;PLAST;N;N;Y;140;16;58.0;45.3;N;N;N;Y;N;;HAVANA;Rectangle;Full Rim;;Plastic;N;;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672572186;0AX3036F;BLUE;8192;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;40.4;N;N;N;N;Y;;BLUE;Square;Full Rim;;Plastic;N;;Woman;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672572247;0AX3036F;BLUE;8193;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;40.4;N;N;N;N;Y;;BLUE;Square;Full Rim;;Plastic;N;;Woman;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672572117;0AX3034F;MATTE NAVY/DARK SEA;8157;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;18;54.0;40.5;N;N;N;N;N;;BLUE;Square;Full Rim;;Plastic;N;21-35;Man;Optical;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672572148;0AX3035F;MATTE BLACK;8078;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;39.0;N;N;N;N;Y;;BLACK;Square;Full Rim;;Plastic;N;;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672048902;0AX4008;MATTE BLACK TRANSPARENT;802087;56;Eyewear;GREY SOLID;;70.00;35.84;Base 6;PLAST;N;N;Y;135;18;56.0;45.0;N;N;N;Y;N;;BLACK;Square;Full Rim;Plastic;Plastic;N;21-35;Unisex;Sun;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672051889;0AX3006;BLACK TRANSPARENT;8005;52;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;135;16;52.0;35.4;N;N;N;Y;Y;;BLACK;Rectangle;Full Rim;Plastic;Plastic;N;;Woman;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672050110;0AX3008;TORTOISE;8037;49;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;135;15;49.0;29.4;N;N;N;Y;Y;;HAVANA;Rectangle;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672734270;0AX2012S;MATTE BLACK;606381;62;Eyewear;POLAR GREY;;110.00;55.08;Base 8 Decentered;PLAST;N;Y;N;125;14;62.0;47.2;N;N;N;N;N;;BLACK;Pilot;Full Rim;Plastic;Metal;N;21-35;Man;Sun;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672364774;0AX3020;DK PURPLE /DK PURP GRP STRIPE;8151;52;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;135;16;52.0;35.9;N;N;N;N;Y;;VIOLET;Rectangle;Full Rim;Plastic;Plastic;N;;Woman;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672364484;0AX4032;BLACK MT TRANS/DK GREY TRANS;814087;55;Eyewear;GREY SOLID;;65.00;33.72;Base 6;PLAST;N;N;Y;140;17;55.0;45.5;N;N;N;N;N;;BLACK;Pilot;Full Rim;Plastic;Plastic;N;;Man;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672388916;0AX2013;SATIN BROWN/BROWN BLUE TRANS;6069TS;60;Eyewear;BROWN GRADIENT POLARIZED;;105.00;52.97;Base 6;PLAST;N;Y;N;140;12;;;N;N;N;N;N;;BROWN;Pilot;Full Rim;Plastic;Metal;N;;Unisex;Sun;N;Y;N;;ZPFN;Exchange Armani;AX;
